topic_id,category
0,Agricultural and Biological Sciences
0,Arts and Humanities
0,Business
0,Computer Science
0,Decision Sciences
0,Dentistry
0,Earth and Planetary Sciences
0,Economics
0,Energy
0,Engineering
0,Environmental Science
0,Health Professions
0,Mathematics
0,Medicine
0,Multidisciplinary
0,Neuroscience
0,Nursing
0,Psychology
0,Social Sciences
0,Veterinary
1,Agricultural and Biological Sciences
1,Biochemistry
1,Chemical Engineering
1,Chemistry
1,Dentistry
1,Immunology and Microbiology
1,Materials Science
1,Medicine
1,Multidisciplinary
1,Neuroscience
1,Nursing
1,Pharmacology
1,Veterinary
2,Agricultural and Biological Sciences
2,Arts and Humanities
2,Biochemistry
2,Business
2,Chemical Engineering
2,Chemistry
2,Computer Science
2,Decision Sciences
2,Dentistry
2,Earth and Planetary Sciences
2,Economics
2,Energy
2,Engineering
2,Environmental Science
2,Health Professions
2,Immunology and Microbiology
2,Mathematics
2,Medicine
2,Multidisciplinary
2,Neuroscience
2,Nursing
2,Pharmacology
2,Psychology
2,Social Sciences
2,Veterinary
3,Biochemistry
3,Business
3,Chemical Engineering
3,Chemistry
3,Computer Science
3,Decision Sciences
3,Economics
3,Energy
3,Engineering
3,Environmental Science
3,Materials Science
3,Mathematics
3,Multidisciplinary
3,Neuroscience
3,Physics and Astronomy
4,Agricultural and Biological Sciences
4,Arts and Humanities
4,Business
4,Chemical Engineering
4,Chemistry
4,Computer Science
4,Decision Sciences
4,Earth and Planetary Sciences
4,Economics
4,Energy
4,Engineering
4,Environmental Science
4,Health Professions
4,Materials Science
4,Mathematics
4,Multidisciplinary
4,Nursing
4,Physics and Astronomy
4,Psychology
4,Social Sciences
5,Agricultural and Biological Sciences
5,Arts and Humanities
5,Biochemistry
5,Business
5,Chemical Engineering
5,Chemistry
5,Computer Science
5,Decision Sciences
5,Earth and Planetary Sciences
5,Economics
5,Energy
5,Engineering
5,Environmental Science
5,Materials Science
5,Mathematics
5,Medicine
5,Multidisciplinary
5,Neuroscience
5,Pharmacology
5,Physics and Astronomy
6,Agricultural and Biological Sciences
6,Biochemistry
6,Chemical Engineering
6,Chemistry
6,Decision Sciences
6,Dentistry
6,Earth and Planetary Sciences
6,Environmental Science
6,Immunology and Microbiology
6,Medicine
6,Multidisciplinary
6,Neuroscience
6,Pharmacology
6,Veterinary
7,Agricultural and Biological Sciences
7,Arts and Humanities
7,Biochemistry
7,Business
7,Chemical Engineering
7,Chemistry
7,Computer Science
7,Decision Sciences
7,Dentistry
7,Earth and Planetary Sciences
7,Economics
7,Energy
7,Engineering
7,Environmental Science
7,Health Professions
7,Immunology and Microbiology
7,Materials Science
7,Mathematics
7,Medicine
7,Multidisciplinary
7,Neuroscience
7,Nursing
7,Pharmacology
7,Physics and Astronomy
7,Psychology
7,Social Sciences
7,Veterinary
8,Agricultural and Biological Sciences
8,Arts and Humanities
8,Biochemistry
8,Business
8,Chemical Engineering
8,Chemistry
8,Computer Science
8,Decision Sciences
8,Dentistry
8,Earth and Planetary Sciences
8,Economics
8,Energy
8,Engineering
8,Environmental Science
8,Health Professions
8,Immunology and Microbiology
8,Mathematics
8,Medicine
8,Multidisciplinary
8,Neuroscience
8,Nursing
8,Pharmacology
8,Psychology
8,Social Sciences
8,Veterinary
9,Agricultural and Biological Sciences
9,Arts and Humanities
9,Biochemistry
9,Business
9,Chemical Engineering
9,Chemistry
9,Computer Science
9,Decision Sciences
9,Earth and Planetary Sciences
9,Economics
9,Energy
9,Engineering
9,Environmental Science
9,Health Professions
9,Immunology and Microbiology
9,Materials Science
9,Mathematics
9,Medicine
9,Multidisciplinary
9,Neuroscience
9,Nursing
9,Pharmacology
9,Physics and Astronomy
9,Psychology
9,Social Sciences
9,Veterinary
10,Agricultural and Biological Sciences
10,Arts and Humanities
10,Biochemistry
10,Business
10,Chemistry
10,Decision Sciences
10,Dentistry
10,Earth and Planetary Sciences
10,Economics
10,Environmental Science
10,Health Professions
10,Immunology and Microbiology
10,Mathematics
10,Medicine
10,Multidisciplinary
10,Neuroscience
10,Nursing
10,Pharmacology
10,Psychology
10,Social Sciences
10,Veterinary
11,Agricultural and Biological Sciences
11,Arts and Humanities
11,Biochemistry
11,Business
11,Chemical Engineering
11,Chemistry
11,Computer Science
11,Decision Sciences
11,Dentistry
11,Earth and Planetary Sciences
11,Economics
11,Energy
11,Engineering
11,Environmental Science
11,Health Professions
11,Materials Science
11,Mathematics
11,Medicine
11,Multidisciplinary
11,Neuroscience
11,Nursing
11,Pharmacology
11,Psychology
11,Social Sciences
12,Agricultural and Biological Sciences
12,Arts and Humanities
12,Biochemistry
12,Business
12,Computer Science
12,Decision Sciences
12,Dentistry
12,Earth and Planetary Sciences
12,Economics
12,Engineering
12,Environmental Science
12,Health Professions
12,Immunology and Microbiology
12,Mathematics
12,Medicine
12,Multidisciplinary
12,Neuroscience
12,Nursing
12,Pharmacology
12,Psychology
12,Social Sciences
12,Veterinary
13,Agricultural and Biological Sciences
13,Arts and Humanities
13,Biochemistry
13,Business
13,Chemical Engineering
13,Chemistry
13,Computer Science
13,Decision Sciences
13,Earth and Planetary Sciences
13,Economics
13,Energy
13,Engineering
13,Environmental Science
13,Health Professions
13,Immunology and Microbiology
13,Materials Science
13,Mathematics
13,Medicine
13,Multidisciplinary
13,Neuroscience
13,Pharmacology
13,Physics and Astronomy
13,Psychology
13,Social Sciences
14,Biochemistry
14,Business
14,Chemical Engineering
14,Chemistry
14,Computer Science
14,Decision Sciences
14,Economics
14,Energy
14,Engineering
14,Materials Science
14,Mathematics
14,Multidisciplinary
14,Neuroscience
14,Physics and Astronomy
15,Agricultural and Biological Sciences
15,Arts and Humanities
15,Biochemistry
15,Business
15,Chemical Engineering
15,Chemistry
15,Computer Science
15,Decision Sciences
15,Dentistry
15,Earth and Planetary Sciences
15,Economics
15,Energy
15,Engineering
15,Environmental Science
15,Health Professions
15,Immunology and Microbiology
15,Mathematics
15,Medicine
15,Multidisciplinary
15,Neuroscience
15,Nursing
15,Pharmacology
15,Psychology
15,Social Sciences
15,Veterinary
16,Agricultural and Biological Sciences
16,Arts and Humanities
16,Biochemistry
16,Business
16,Chemical Engineering
16,Chemistry
16,Computer Science
16,Decision Sciences
16,Earth and Planetary Sciences
16,Economics
16,Energy
16,Engineering
16,Environmental Science
16,Health Professions
16,Immunology and Microbiology
16,Materials Science
16,Mathematics
16,Medicine
16,Multidisciplinary
16,Neuroscience
16,Nursing
16,Physics and Astronomy
16,Psychology
16,Social Sciences
17,Agricultural and Biological Sciences
17,Biochemistry
17,Chemical Engineering
17,Chemistry
17,Dentistry
17,Energy
17,Health Professions
17,Immunology and Microbiology
17,Materials Science
17,Medicine
17,Multidisciplinary
17,Neuroscience
17,Pharmacology
17,Veterinary
18,Agricultural and Biological Sciences
18,Biochemistry
18,Chemistry
18,Computer Science
18,Dentistry
18,Environmental Science
18,Immunology and Microbiology
18,Medicine
18,Multidisciplinary
18,Neuroscience
18,Pharmacology
18,Veterinary
19,Chemical Engineering
19,Chemistry
19,Computer Science
19,Earth and Planetary Sciences
19,Energy
19,Engineering
19,Materials Science
19,Mathematics
19,Multidisciplinary
19,Physics and Astronomy
20,Agricultural and Biological Sciences
20,Arts and Humanities
20,Biochemistry
20,Business
20,Chemical Engineering
20,Chemistry
20,Computer Science
20,Decision Sciences
20,Earth and Planetary Sciences
20,Economics
20,Energy
20,Engineering
20,Environmental Science
20,Health Professions
20,Immunology and Microbiology
20,Materials Science
20,Mathematics
20,Medicine
20,Multidisciplinary
20,Neuroscience
20,Physics and Astronomy
20,Psychology
20,Social Sciences
21,Agricultural and Biological Sciences
21,Biochemistry
21,Chemical Engineering
21,Chemistry
21,Computer Science
21,Dentistry
21,Engineering
21,Environmental Science
21,Health Professions
21,Immunology and Microbiology
21,Materials Science
21,Mathematics
21,Medicine
21,Multidisciplinary
21,Neuroscience
21,Pharmacology
21,Physics and Astronomy
21,Psychology
21,Veterinary
22,Biochemistry
22,Business
22,Chemical Engineering
22,Chemistry
22,Computer Science
22,Decision Sciences
22,Dentistry
22,Earth and Planetary Sciences
22,Energy
22,Engineering
22,Environmental Science
22,Materials Science
22,Mathematics
22,Multidisciplinary
22,Neuroscience
22,Pharmacology
22,Physics and Astronomy
23,Agricultural and Biological Sciences
23,Biochemistry
23,Chemical Engineering
23,Chemistry
23,Computer Science
23,Earth and Planetary Sciences
23,Energy
23,Engineering
23,Environmental Science
23,Immunology and Microbiology
23,Materials Science
23,Mathematics
23,Medicine
23,Multidisciplinary
23,Neuroscience
23,Pharmacology
23,Physics and Astronomy
24,Biochemistry
24,Chemical Engineering
24,Chemistry
24,Computer Science
24,Decision Sciences
24,Earth and Planetary Sciences
24,Energy
24,Engineering
24,Materials Science
24,Mathematics
24,Multidisciplinary
24,Neuroscience
24,Pharmacology
24,Physics and Astronomy
25,Agricultural and Biological Sciences
25,Arts and Humanities
25,Business
25,Computer Science
25,Decision Sciences
25,Earth and Planetary Sciences
25,Economics
25,Energy
25,Engineering
25,Environmental Science
25,Health Professions
25,Mathematics
25,Medicine
25,Multidisciplinary
25,Neuroscience
25,Nursing
25,Psychology
25,Social Sciences
26,Agricultural and Biological Sciences
26,Arts and Humanities
26,Business
26,Computer Science
26,Decision Sciences
26,Earth and Planetary Sciences
26,Economics
26,Energy
26,Engineering
26,Environmental Science
26,Health Professions
26,Immunology and Microbiology
26,Mathematics
26,Medicine
26,Multidisciplinary
26,Nursing
26,Physics and Astronomy
26,Psychology
26,Social Sciences
27,Agricultural and Biological Sciences
27,Arts and Humanities
27,Business
27,Computer Science
27,Decision Sciences
27,Earth and Planetary Sciences
27,Economics
27,Energy
27,Engineering
27,Environmental Science
27,Health Professions
27,Mathematics
27,Medicine
27,Multidisciplinary
